8gb	2.000000	1.000000	0.125000	0.222222
ram	11.000000	0.916667	0.687500	0.785714
plenti	3.000000	0.375000	0.187500	0.250000
life	2.000000	0.033333	0.125000	0.052632
i7	2.000000	0.400000	0.125000	0.190476
laptop	2.000000	0.007692	0.125000	0.014493
memori	5.000000	0.500000	0.312500	0.384615
drive	2.000000	0.051282	0.125000	0.072727
slow	2.000000	0.055556	0.125000	0.076923
3	2.000000	0.071429	0.125000	0.090909
littl	2.000000	0.045455	0.125000	0.066667
processor	2.000000	0.125000	0.125000	0.125000
lot	3.000000	0.166667	0.187500	0.176471
hard	2.000000	0.057143	0.125000	0.078431
batteri	3.000000	0.034884	0.187500	0.058824
great	3.000000	0.017964	0.187500	0.032787
run	2.000000	0.040816	0.125000	0.061538
fast	2.000000	0.032787	0.125000	0.051948
gb	2.000000	0.666667	0.125000	0.210526
