laptop	7.000000	0.028689	0.100000	0.044586
bright	2.000000	0.333333	0.028571	0.052632
ever	6.000000	0.037037	0.085714	0.051724
keyboard	41.000000	0.976190	0.585714	0.732143
go	2.000000	0.011299	0.028571	0.016194
find	2.000000	0.105263	0.028571	0.044944
buttons	3.000000	0.272727	0.042857	0.074074
feel	6.000000	0.285714	0.085714	0.131868
board	50.000000	0.892857	0.714286	0.793651
easy	6.000000	0.100000	0.085714	0.092308
late	2.000000	0.133333	0.028571	0.047059
5	3.000000	0.051724	0.042857	0.046875
real	2.000000	0.032258	0.028571	0.030303
dark	2.000000	0.400000	0.028571	0.053333
feels	2.000000	0.400000	0.028571	0.053333
every	3.000000	0.042254	0.042857	0.042553
hands	2.000000	0.666667	0.028571	0.054795
press	3.000000	0.200000	0.042857	0.070588
using	2.000000	0.100000	0.028571	0.044444
trouble	2.000000	0.285714	0.028571	0.051948
bar	2.000000	0.166667	0.028571	0.048780
like	4.000000	0.046512	0.057143	0.051282
button	5.000000	0.277778	0.071429	0.113636
large	4.000000	0.285714	0.057143	0.095238
quick	2.000000	0.090909	0.028571	0.043478
works	2.000000	0.057143	0.028571	0.038095
side	4.000000	0.160000	0.057143	0.084211
right	5.000000	0.178571	0.071429	0.102041
weight	2.000000	0.080000	0.028571	0.042105
hard	3.000000	0.065217	0.042857	0.051724
touch	2.000000	0.060606	0.028571	0.038835
see	3.000000	0.071429	0.042857	0.053571
computer	5.000000	0.024390	0.071429	0.036364
sized	2.000000	0.285714	0.028571	0.051948
space	3.000000	0.428571	0.042857	0.077922
everything	2.000000	0.047619	0.028571	0.035714
get	5.000000	0.041667	0.071429	0.052632
issue	2.000000	0.100000	0.028571	0.044444
bought	2.000000	0.044444	0.028571	0.034783
full	2.000000	0.080000	0.028571	0.042105
screen	9.000000	0.112500	0.128571	0.120000
little	4.000000	0.093023	0.057143	0.070796
wi	14.000000	0.038251	0.200000	0.064220
reason	2.000000	0.222222	0.028571	0.050633
key	55.000000	0.873016	0.785714	0.827068
backlit	3.000000	0.750000	0.042857	0.081081
great	7.000000	0.049296	0.100000	0.066038
could	2.000000	0.060606	0.028571	0.038835
thing	4.000000	0.025806	0.057143	0.035556
stand	2.000000	0.090909	0.028571	0.043478
alot	2.000000	0.400000	0.028571	0.053333
makes	3.000000	0.176471	0.042857	0.068966
top	9.000000	0.031034	0.128571	0.050000
comes	2.000000	0.142857	0.028571	0.047619
love	6.000000	0.074074	0.085714	0.079470
extra	2.000000	0.153846	0.028571	0.048193
number	3.000000	0.428571	0.042857	0.077922
matte	2.000000	0.222222	0.028571	0.050633
size	7.000000	0.233333	0.100000	0.140000
use	15.000000	0.057915	0.214286	0.091185
beautiful	2.000000	0.181818	0.028571	0.049383
would	3.000000	0.027778	0.042857	0.033708
long	2.000000	0.050000	0.028571	0.036364
way	2.000000	0.033898	0.028571	0.031008
typing	2.000000	0.333333	0.028571	0.052632
type	7.000000	0.538462	0.100000	0.168675
function	2.000000	0.142857	0.028571	0.047619
life	2.000000	0.033333	0.028571	0.030769
stick	2.000000	0.285714	0.028571	0.051948
particular	2.000000	1.000000	0.028571	0.055556
sound	2.000000	0.111111	0.028571	0.045455
f	46.000000	0.039724	0.657143	0.074919
wish	2.000000	0.125000	0.028571	0.046512
thin	5.000000	0.028409	0.071429	0.040650
control	2.000000	0.500000	0.028571	0.054054
lighted	2.000000	0.666667	0.028571	0.054795
pro	2.000000	0.008584	0.028571	0.013201
8	2.000000	0.055556	0.028571	0.037736
work	8.000000	0.057143	0.114286	0.076190
mouse	4.000000	0.137931	0.057143	0.080808
functions	2.000000	0.333333	0.028571	0.052632
built	2.000000	0.181818	0.028571	0.049383
sit	3.000000	0.088235	0.042857	0.057692
0	3.000000	0.041667	0.042857	0.042254
feature	2.000000	0.057143	0.028571	0.038095
1	2.000000	0.021978	0.028571	0.024845
also	4.000000	0.100000	0.057143	0.072727
pad	7.000000	0.155556	0.100000	0.121739
nice	8.000000	0.250000	0.114286	0.156863
keys	9.000000	0.900000	0.128571	0.225000
designed	2.000000	0.500000	0.028571	0.054054
letter	2.000000	1.000000	0.028571	0.055556
fi	6.000000	0.025751	0.085714	0.039604
times	2.000000	0.076923	0.028571	0.041667
2	2.000000	0.026667	0.028571	0.027586
windows	2.000000	0.166667	0.028571	0.048780
light	7.000000	0.118644	0.100000	0.108527
clear	2.000000	0.142857	0.028571	0.047619
well	4.000000	0.076923	0.057143	0.065574
drive	2.000000	0.044444	0.028571	0.034783
time	4.000000	0.048193	0.057143	0.052288
